INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,51,"OCT 16, 2019",Chief Campus Alumni Affairs Administrator,135120.00,Executive Director Alumni Affairs,Ex Dir of Alum Aff & An. Giv
ASU,42,"MAR 30, 2020",Police / Public Safety Professional,40050.00,University Police,Public Safety Officer MR
ASU,29,"AUG 01, 2012",IT Client Support Professional,66648.00,Information Technology Service,Technology Suppt Specialist
ASU,59,"AUG 15, 1994",Graphical Design Paraprofessional,45954.00,School Of Music,Arts Production Specialist
ASU,54,"JUL 26, 2000",Executive Assistant,52020.00,Business Affairs Vice Chan,Executive Assistant
ASU,37,"AUG 21, 2018",Lecturer,43000.00,Sociology,Lecturer
ASU,32,"SEP 02, 2008",Food Prep Worker,31200.00,Sanford Commons,Food Service Technician
ASU,49,"AUG 21, 2012",Lecturer,39749.00,English,Senior Lecturer
ASU,29,"JAN 09, 2017","Student Housing Professional, Operations",38000.00,University Housing-Residence Life,Coordinator
ASU,32,"AUG 15, 2016",Vehicle Mechanic,37354.00,Motor Pool,Vehicle/Equipment Repair Tech
ASU,46,"JAN 11, 2016",Lecturer,44000.00,Art,Lecturer
ASU,23,"OCT 09, 2018","Teacher / Classroom Professional, Child Care Center Teacher",36979.00,Lucy Brock Child Dev Lab Prog,Early Childhood Dev Practition
ASU,45,"JAN 10, 2004",Associate Professor,74527.00,English,Assoc Professor
ASU,37,"AUG 17, 2020",Assistant Professor,48500.00,Interdisciplinary Studies,Visiting Assistant Professor
ASU,28,"AUG 03, 2015",Administrative / Office / Clerical Lead/Supervisor,33749.00,College of Arts and Sciences,Administrative Support Spec
ASU,36,"JUN 15, 2005","Student Financial Aid Professional, Counselor",48357.00,Financial Aid,Asst Director. Financial Aid
ASU,39,"APR 02, 2014",Audiovisual Technical/Paraprofessional,43811.00,University Communications,Broadcast & Emerg Media Tech
ASU,29,"JUL 02, 2018","Academic Advising Professional, Advisor/Coordinator",48000.00,College of Health Sciences,Academic Advisor
ASU,40,"AUG 22, 2017",Assistant Professor,52000.00,Reading Education & Specl Education,Clinical Assistant Professor
ASU,33,"AUG 01, 2016",Athletics Professional,44300.00,Athletics Office,"Dir, Football Player Personnel"
ASU,35,"AUG 17, 2020",Lecturer,50000.00,Recreation Mgmt and Phys Ed (RMPE),Assoc Prof/RM Prog Dir
ASU,44,"MAR 31, 2000",Electrician (Journeyman),66851.00,New River Light and Power Co,High Voltage Dist Specialist
ASU,31,"AUG 17, 2020",Assistant Professor,66800.00,Biology,Lecturer
ASU,60,"OCT 03, 2016",Custodian / Housekeeper,31200.00,University Housing-Operations,Building & Environmental Tech
ASU,59,"JAN 30, 2012",Boilermaker,40502.00,Steam Systems,Facility Maint Mech Trade
ASU,41,"AUG 21, 2009",Food Server,31200.00,Cascades Cafe,Food Service Technician
ASU,45,"MAR 16, 2020",Department Assistant,57000.00,Office of General Counsel,University Program Specialist
ASU,37,"JUL 01, 2000",Department Assistant,46298.00,College of Business,University Program Specialist
ASU,48,"NOV 20, 2006","Retail Operation Professional, Food Service Manager (Unit)",48741.00,Rivers Street Cafe,Food Service Manager
ASU,62,"JAN 05, 2006","Director, Subdivision/Unit/Program AD",99000.00,Business Career Services,"Director, Career Services"
ASU,58,"SEP 09, 1987",Lecturer,48500.00,Recreation Mgmt and Phys Ed (RMPE),Senior Lecturer
ASU,33,"JUN 14, 2006","Academic Advising Professional, Advisor/Coordinator",43000.00,Student Learning Center,Acad. Advisor For Athletes
ASU,27,"JUL 10, 2017",Grounds / Landscape Worker,31200.00,Landscape Services,Horticultural Specialist
ASU,62,"JAN 15, 1986",Lecturer,47000.00,Recreation Mgmt and Phys Ed (RMPE),Lecturer
ASU,62,"JUN 16, 2015",Administrative Assistant,34424.00,Financial Aid,Administrative Support Spec
ASU,54,"MAY 15, 2017",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,70,"AUG 26, 2008",Associate Professor,74692.00,Leadership & Edu Studies,Associate Professor
ASU,28,"MAY 12, 2014",Lecturer,46000.00,Applied Design,Lecturer
ASU,42,"AUG 22, 2017",Assistant Professor,57000.00,School Of Music,Professor
ASU,44,"AUG 19, 2014",Associate Professor,72074.00,Art,Associate Professor
ASU,75,"AUG 15, 1989",Professor,98084.00,History,Professor
ASU,54,"JAN 01, 2014",HR Coordinator,44296.00,The Office of Human Resources,HR Specialist-Worker's Comp
ASU,60,"AUG 21, 2012",Professor,134452.00,Mathematical Sciences,Distinguished Professor
ASU,24,"NOV 04, 2019",Administrative Assistant,33000.00,Dir-Arts & Cultural Programs,University Program Associate
ASU,39,"FEB 05, 2018","Retail Operation Professional, Food Service Manager (Unit)",73000.00,Campus Dining,Food Service Manager
ASU,61,"SEP 01, 1997",Associate Professor,74600.00,Communication Sciences & Disorders,Associate Professor
ASU,52,"AUG 24, 2004",Lecturer,58474.00,"Finance, Banking & Insurance",Senior Lecturer
ASU,66,"NOV 14, 2005",Social / Human Services Professional,28080.00,Reading Education & Specl Education,Human Svcs Prog Suppt Tech
ASU,28,"JUL 17, 2017","Student Housing Professional, Residence Hall Mgr (R&B Included)",37400.00,University Housing-Residence Life,"Coord, University Housing"
ASU,39,"AUG 17, 2015",Assistant Professor,65813.00,Biology,Assistant Professor
ASU,39,"AUG 16, 2016",Assistant Professor,67500.00,Health and Exercise Science (HES),Assistant Professor
ASU,25,"AUG 16, 2015",Administrative Assistant,31200.00,Reading Education & Specl Education,Administrative Support Assoc
ASU,62,"NOV 26, 2003",HVAC Mechanic (Journeyman),49852.00,HVAC,Facility Main Tech-Mech Trades
ASU,25,"JUN 15, 2020","Student Housing Professional, Residence Hall Mgr (R&B Included)",37400.00,University Housing-Residence Life,"Coord, University Housing"
ASU,33,"AUG 01, 2007","Academic Advising Professional, Advisor/Coordinator",45760.00,University College Advising,Academic Advisor
ASU,72,"AUG 15, 1988",Professor (Primary) and Department Chair/Head,155416.00,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,49,"JAN 22, 2018","Student Financial Aid Professional, Counselor",45500.00,Financial Aid,"Assistant Dir, Financial Aid"
ASU,56,"JUL 18, 2018",Teacher / Classroom Professional,65780.00,ASU/RCOE Lab School,Teacher-Academy at Middle Fork
ASU,43,"OCT 31, 2018",Security Guard,31200.00,University Police,Property Security Officer
ASU,59,"JUL 03, 2000","Librarian AC, Other",83918.00,Library,Prof/Coordinator Music Lib
ASU,26,"JUL 28, 2020","Clerk, Records",33749.00,College of Arts and Sciences,Administrative Support Spec
ASU,57,"AUG 24, 2010",Associate Professor,83500.00,Department of Nursing,Assistant Professor
ASU,61,"JUL 01, 2003",Professor,140110.00,Accounting,Professor
ASU,49,"AUG 20, 2005",Professor,77842.00,Curriculum & Instruction,Professor
ASU,47,"AUG 23, 2005","Assoc/Asst Dean, Arts and Sciences",101555.00,College of Arts and Sciences,Senior Associate Dean
ASU,50,"APR 16, 2015",Department Assistant,48916.00,Library,University Program Specialist
ASU,40,"OCT 19, 2015",Boilermaker,34081.00,Steam Systems,Utilities Plant Operator
ASU,32,"MAR 13, 2015","Academic Services Professional, Study Abroad Advisor",35568.00,International Edu & Development,Study Abroad Adv/Pro Coord
ASU,30,"FEB 17, 2020",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,60,"JAN 13, 2014",Lecturer,55000.00,"Finance, Banking & Insurance",Lecturer
ASU,43,"APR 11, 2008",Communications Specialist,61000.00,University Communications,Pub Communication Specialist
